"Shrinkage","Error","Tree"
1e-04,0.0018984634147247,1000
0.0051,0.00189251665097114,434
0.0101,0.00189479708501492,177
0.0151,0.00189278662273993,72
0.0201,0.00188733639192569,101
0.0251,0.00189403760967916,62
0.0301,0.00189041608768107,142
0.0351,0.00189920995514823,4
0.0401,0.00189376165482373,18
0.0451,0.0018845659308857,213
0.0501,0.00189219116889267,68
0.0551,0.00189436181901646,34
0.0601,0.00189455318983294,26
0.0651,0.00188948434861603,168
0.0701,0.00189333483723342,32
0.0751,0.00189624866595337,16
0.0801,0.00189137554465574,42
0.0851,0.00189538273938378,17
0.0901,0.00189497961541788,18
0.0951,0.00188800821323561,20
